rating,title,author,date,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,content_clean,trip_verified,sentiment
2,"""delayed with no explanation""",S Morton,2024-09-01,A319,3,1,3,Not Rated,1,Not Rated,1,no,flew with british airways club europe on saturday 31st august poor lounge in berlin brandenburg airport emailed to say that flight was delayed with no explanation and no announcement made staff in lounge had not been told of delay and airport info screens were not updated email said to keep checking online for updates flight took over 99 minutes late with no explanation why the late arrival of plane and departure with a very rushed service on arrival at lhr quickly with passport control then an almost hour wait for baggage to arrive on the carousels no announcements due to the delay meaning arriving home over 3 hours later than should of been arriving,Verified,Negative
8,"""Sound food and drink offered""",E Smyth,2024-08-30,Boeing 777-200,4,4,4,5,4,5,4,Yes,straightforward check in t5 new site for club check in and it works well all lounges busy but good food offerings on time departure for a completely full flight in all cabins sound food and drink offered with the exception of inferior quality champagne crew coped well for this busy and quite short flight slept for a few hours afternoon tea food was good but portions very small early landing and luggage off quickly,Verified,Positive
1,"beyond appalled, hurt and frustrated",Lauren Boniface,2024-08-28,Solo Leisure,1,1,Not Rated,Not Rated,1,Not Rated,1,no,i am beyond upset and disgusted with the disregard lack of knowledge and lies that your company has put me through each call i have had with a different representative has lead to no help nothing being resolved and false information due to no longer being able to fly for my original flight i called and spoke to someone who gave me a new reference number where i could book at a later datedestination or change the name i then had a close family member pass away suddenly to which i then offered my mother my ticket to fly out for the funeral as i was told i could change the name when then calling and trying to do this i then got told that i was unable to do this unless we proved this by sending the death certificate as stated in the policy after questioning this and not wanting to get false information i made this representative double check and confirm this to which she did after then troubling my aunt and uncle who are grieving over the sudden loss of their son my cousin for this documentation we then sent it to the to email provided and called to get this now changed into my mothers name to which we then found out was yet another lie and that this cannot be done as you can only change the name if the ticket holder has passed away which makes no sense as they would be dead so how can they challenge a name change after expressing my feelings of mistrust that i would be taking it further as i no longer wanting to have anything to do with this company i was told that i wasnt allowed any refund and was only allowed to book it at a later date i then challenged the representative to speak to a manger to which i was told they had none working they had gone home and that no one had any direct email after then putting in a formal complaint 5 months ago with still no response i called back to use the money to book a new flight to say i couldnt as it was a less amount even after saying fine keep the remaining money and i was only allowed to book the same amount or more scam to get more money out of you when asking to speak to a manager shock horror there isnt one working when looking at the status of my complaint he said there is a back log and will get to it eventually says a lot if the back log of complaints is longer than 5 months to then be told there is nothing he can do i am beyond appalled hurt and frustrated by this whole experience and will be spreading the word and my story to every known platform and review website possible till i speak to someone who genuinely knows what they are talking about and can come to a mutual agreementresolve the issue as the information i was told only leaves me to believe that this company doesnt care at all about its customers and only cares about money and profit,Not Verified,Negative
1,"""experience was overall very poor""",Il Yong Jung,2024-08-28,Family Leisure,4,1,3,4,1,4,1,no,i purchased round trip direct flight business class ticket for my family from hong kong to london a few days before the trip the airline cancelled our return flight without giving any reasons and booked us on a flight routing via doha which gave us 2 hour layover on the day of departure the flight was delayed by more than 2 hours as a result of crew shortage when getting on the flight we enquired about whether wed be able to make the flight and we were told that given many passengers are on the same flight the doha to hong kong flight would wait when we arrived we were told that our flight already departed and the next flight available was 6 hours later we had to wait 1 hour to get our boarding passes and then was only given access to the lounge when there is an airport hotel after the flight we reached out to make a complaint and ask for monetary consideration given the experience the airline has not responded for more than a month we paid up for the direct flight and premium seating but the experience was overall very poor,Verified,Positive
1,the entire travel was cancelled,Raymond Fournier,2024-08-27,Business,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,1,no,i booked two business class seats we had a medical emergency and couldnt make the first leg of the trip we then wanted to rebook an outgoing flight but were told that the entire travel was cancelled cost 10k of course we know that ba turned around and resold the return tickets,Not Verified,Positive
9,service offered was exceptional,Arthur Grace,2024-08-26,Boeing 787,5,5,4,4,4,3,5,Yes,although all four flights were delayed the service offered by ba was exceptional the food and drink offered on the domestic and international sectors was extremely good as was the attention of the cabin crew some disorganised boarding on return from newark the ba lounge service at newark was excellent overall a good and satisfying trip,Not Verified,Positive
1,"""No meal served""",R Khamal,2024-08-26,Solo Leisure,4,2,1,1,1,1,1,no,flight changed just one day before from british airways to titan flight delayed 2 hours no meal served and no entertainment again the flight changed to titan for the way back,Verified,Neutral
2,no response to complaint,F Andre,2024-08-25,Family Leisure,1,1,Not Rated,Not Rated,1,Not Rated,1,no,delayed flight 1 hour arbitrary cancellation of paid for reserved seats no response to formal complaint or explanation flight back to london cancelled giving 3 days notice no reason given alternative flight offered two days later travelling with son and daughter,Not Verified,Negative
10,cabin crew are brilliant,L James,2024-08-25,Solo Leisure,4,5,Not Rated,Not Rated,4,4,4,Yes,flown with ba four times as an anxious traveller i cant recommend them enough constant updates from the pilot if there are delays and the cabin crew are brilliant every time will always use ba in the future,Not Verified,Positive
1,"""may never see your refund""",Dylan Jacobs,2024-08-22,Solo Leisure,3,5,4,4,5,3,1,no,you may never see your refund i cancelled my return flight and they sent my refund to pakistan and told me i must have a pakistani credit card i forgot i used to purchase my flight took 3 calls for them to admit this pakistan card wasnt mine and they sent someone else my money after calling about 12 total times over 3 months they finally sent me half my refund and told me they dont owe me anything you told me what you owed me 132 on a 700 ticket sent it to pakistan and now you only owe me half that 75,Verified,Negative
5,failed to enjoy business class,Julian Fisher,2024-08-21,A380,2,5,3,Not Rated,4,Not Rated,2,no,cargo service thats how i felt in the a380 upper deck supposedly nicer than the main deck for business but packed in on the 232 configuration head to tail as ba loves to configure its seats to make more money i failed to enjoy business class or feel like it was worth the money the lieflat seats do that as narrow as they are and only by lowering the foot restthe foot rest over which the person not on the aisle i was on the aisle has to step or crawl to get to the aisle one can get a couple of fitful hours of sleep but only with luck the seat controls on the a380 are primitive and antiquated the food served was a bit better than coach but only minimally so wellcooked dead supposedly scottish salmon salads with tough bits of green if id paid coach prices for this id have been sort of pleased but business class ba continues to hoover money out of flyers pockets for minimal qualityand charges all but their higher grades of customers for the privilege of choosing seats in advance of 24 hr checkin some of their newer planes have the more traditional allfacingforward business classbut many do not its really a gamble whether youll get a pod in business or simply a lieflat space next to many of your newfound friendsand be awakened by them its really time for ba to either reduce their business class prices to reflect the mediocre product or step up and reallocate space for normal business pod seats all through their fleet,Not Verified,Positive
4,"somewhere below easyJet, above Ryanair",S Anderson,2024-08-21,A350-1000,2,3,2,3,1,Not Rated,1,no,inefficient and slow airport operation resting on their laurels many staff standing around doing very little at terminal 5 yet not completing their basic tasks i had to return three times for them to properly do the document check fees as bad as ryanair for any extras average somewhere below easyjet above ryanair for now presumably thats what theyre aiming for,Verified,Negative
2,"""zero response from BA to reimburse us""",Jenine Smith,2024-08-18,Family Leisure,1,1,Not Rated,Not Rated,1,Not Rated,1,no,the customer service is one of the worst i have ever seen they will scheme and give you untruths we were not allowed on our original flight because of some technical issue on their end and had to call the airline because they could not do anything at the counter 600 additional later we are booked on the next flight in 12 hours we paid for services on the original flight and asked for it to be moved nothing happened we had to pay for the services all over again next the second connecting flight we sat on the tarmac for over two hours then we deplaned at midnight without going anywhere they did not even give us an hotel we had to spend the night at the airport they gave us a flight the enxt day from london to zurich but it was three connecting flights with an hour gap each london brussels amsterdam zurich absolute nonsense the first flight itself was delayed so of course we missed all the other connections and they would not pick up the phone or help us nothing we had zero help from ba and had to spend 10 hours at brussels ariport sorting out and buying new tickets ourselves we are out over 2500 at this point with zero response from ba to reimburse us for their planning our final flight to india from zurich was also delayed we sat on the tarmac for 2 hours before the flight finally took off costs,Not Verified,Positive
1,"""no acknowledgment or resolution""",C Hayne,2024-08-15,Solo Leisure,1,1,Not Rated,Not Rated,1,1,1,no,before my flight i was forced by the ground staff to check in my new expensive cabin luggage despite the fact that it met all size requirements i was informed that the plane was full and assured by staff that my luggage would be well taken care of unfortunately when my bag was returned to me it was scratched and damaged this is completely unacceptable especially given the assurances i received when i lodged a complaint it fell on deaf ears there has been no acknowledgment or resolution from british airways the funny thing is that the overhead lockers were empty this experience has been extremely frustrating and disappointing the lack of care for both customer property and customer service is glaring,Not Verified,Negative
8,"""Outstanding service""",C Porter,2024-08-12,A350,5,5,5,5,4,Not Rated,4,Yes,british airways at its best outstanding service from the flight attendants dinner very good though breakfast could be better excellent ife the lie flat seat is extremely comfortable a very pleasant flight on board an a350,Verified,Positive
8,"""the crew were fabulous""",G Jones,2024-08-12,A320,3,5,4,Not Rated,4,Not Rated,4,Yes,an excellent flight despite this being a 45 hour flight in a a320 that is configured for short hops to edinburgh or glasgow and despite there being no ife i ended up really enjoying the flight i dont know if it was just that i had really low expectations but i thought the crew were fabulous and the food and wine was surprisingly good the plane itself looked very new and was in perfect condition from the very start i really liked the crew they were all cheerful genuine and clearly enjoying their work i noticed they constantly had friendly and proactive interactions with passengers and when the food and drink came around they were generous with the wine and happily provided topups later in the flight the food box was deceptively small it actually contained a decent selection of food and was more than enough to keep me feeling satisfied on this trip there were regular and detailed updates from the cockpit which i also appreciated so whilst the hard products on this flight were limited it was the service and the genuine enjoyment of the crew that won me over,Verified,Positive
3,customer service has been horrible,Edward King,2024-08-11,A380,3,4,4,4,2,Not Rated,3,no,i recently traveled with british airways and had a mixed experience booking and checkin the booking process was straightforward but our experience at the baggage counter was frustrating while we were in line the three employees at the counter took a 45minute break before processing our luggage which caused unnecessary delays flights the flight to london was fine and we enjoyed our time in the lounge during our layover despite the delay the connecting flight to dfw was also fine baggage issues unfortunately our luggage did not make it onto our flight to dfw we arrived at dfw on wednesday 8724 and as of 81124 we still have not received our luggage customer service the most disappointing aspect has been the customer service they have been dismissive and no one has taken responsibility or provided a timeline for when our bags will be delivered overall while the flights themselves were okay the baggage handling and customer service has been horrible,Verified,Negative
1,"""Not as much as an apology""",N Kwok,2024-08-09,Family Leisure,1,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,my family and i were booked to leave london for hong kong on 2 august after having been made to wait at the airport for 35 hours we were told at midnight that our aircraft had bee struck by lightning and our flight was cancelled everyone was sent home we had to scramble to find transportation and were told to wait for rerouting information we were booked to travel two days later to hk via the middle east with an 8hour stopover needless to say we refused this flight the worst trick by ba is that all our original flight booking references were deleted from their system and we can therefore not apply for compensation of any of our additional transportation hotel and meal costs i cannot find the words to express my anger not as much as an apology has been received,Verified,Negative
2,"""no one attending or caring""",Greg Szczurek,2024-08-08,Couple Leisure,2,2,2,2,2,2,2,no,we had to change from aa to ba for a flight to london because of a missed connection the flight was ok but in the process our bags were delayed we waited for 2 days at our destination reading regular unhelpful updates from ba about receiving our luggage and finally had to return to the airport twice to pick them up personally because no one lifted a hand to take them off the carousel we have now waited 3 months and counting for a claim to be processed this is absolutely the worst experience ive had in 50 years of plane travel the company has cleverly designed their website and phone tree to deter contact their live chat guides you by asking if you want to chat about a booking or something else in spite of entering no to the option about asking about a booking it takes you there anyway just like being on a baggage carousel with no one attending or caring at least im not alone judging from the number of similar complaints about how terribly they treat customers,Not Verified,Negative
2,disappointed in British Airways,G Cooper,2024-08-08,Boeing 777,1,1,1,4,3,3,1,no,after paying 6500 for tickets for my family including having to pay over 400 just to sit together as we were traveling with kids they ran out of chicken dinners my kids are picky and wont eat vegetarian curry i dont mind the curry in fact i thought it was pretty good but at least maybe feed the kids first or check i dont understand how you can run out when we have to pay so much the only explanation to me is that the airline is greedy and will try to save a nickel than make everyone happy im just disappointed in british airways,Verified,Positive
8,"""easy and enjoyable flight""",G Jones,2024-08-07,Embraer 190,4,4,3,Not Rated,4,Not Rated,4,Yes,an excellent flight on ba cityflyer the plane was clean comfortable and spacious crew were friendly and i was very pleasantly surprised to be offered a choice of complimentary alcoholic beverages on this one hour flight departure was ontime and i appreciated the cockpit keeping us updated and encouraging us to enjoy the views as we came into land at london city an easy and enjoyable flight just as it should be,Verified,Positive
10,"""Crew were amazing and attentive""",Janeks Volkovs,2024-08-07,A320,4,5,5,Not Rated,4,Not Rated,5,Yes,crew were amazing and attentive nothing was missed out by them will definitely choose ba in the future also have to praise the food the choice was sufficient and delicious for a short business flight,Verified,Positive
1,"""missed my connecting flight""",Mary Siniscalchi,2024-08-05,Solo Leisure,3,3,Not Rated,Not Rated,1,1,1,no,i flew internationally for the first time in my life and because of a delay on their end missed my connecting flight to my destination when i asked for help ahead of time i was told to run to the next gate needless to say i missed my flight there were three british airways employees at the customer service desk when i was next in line at heathrow and two of them went on break despite the evergrowing line due to multiple people missing their flights with the same airlines under similar circumstances after 45 additional minutes waiting for assistance i was given a receipt not a boarding pass which caused issues at the next connecting flight from barcelona to rome which was coordinated through british airways and this was just on the outbound trip on the return trip the british airways flight ended up landing 15 minutes late and landed while my connecting flight was boardingdownstairs from the exit gate i was denied entry to my connecting flight because i was 15 minutes past the time when they started to board because of the delay by british airways the boarding didnt close for an hour and didnt leave for another hour and a half later according to the notifications on my phone so instead of being helped i was denied entry because i missed the beginning of boarding by 15 minutes due to the connecting flight delay again i waited in the customer service line at heathrow to reschedule my flight i already had my boarding pass in hand i still havent made it to my final destination i do not recommend heathrow airport either the british airlines employee came to me when she saw me upset after being denied to board on my return flight and asked what happened her solution to my problem was do not fly british airways in the future thanks a lot lady i already figured that out on my own i was given a 10 meal voucher bus voucher and hotel voucher due to the many inconveniences but i have not flown any airlines ever before in my life where i have had such issues thankfully i had no checked bags so i cannot speak to that effect,Not Verified,Negative
1,time to change leadership team,R Foster,2024-08-03,Business,3,1,1,Not Rated,1,Not Rated,1,no,ba after subsequent delays and postponed departure times from the initial 2035 to 2300 as passengers had been gathering at the already assigned gate crew was ready to board and aircraft ready outside decided to cancel the flight reason provided over the intercom absence of pilots all passengers were told that no hotels could be booked for them and that everyone was on their own note this therell be a follow up rage mounted amongst us all but the brits to whom all can be done without response myself and others had all reasons to insist and so we did till 1 am the crew kept saying that no rebooking was possible apart from the automated one which expected us to cross europe to get to our destination and no hotel booking were in their power either well liars after hours of pushing and raging one person came with the hotel bookings for roughly those 30 of us who kept on fighting liars also for another reason all but one angel told us there was no way to be rebooked but one took me apart and suggested me a way which worked it meant breaking some of their rules but after all they made the mess so they had to sort it out with 3 hours of sleep over 24 hours i managed to get back where i had to and im 100 committed to now avoid ba as much i shall be able to some of the clerks told me it was impossible working for them after all the cuts to save on money as the company runs in pretty bad financial waters hubs such as heathrow now have almost no presence and passengers have to do all by themselves from checking in their bags at the bag drops to spending hours on their phones at their expenses when ba messes it up as it frequently does lately its a pity to be seeing such a decay time to change leadership team and ceo,Verified,Negative
1,"""avoid it at all cost!""",Kevin Butler,2024-08-02,A380,1,3,3,2,1,1,1,no,it is embarrassing to have the word british attached to this airline the service was substandard in every way with the possible exception of food and a couple of stand out staff i can accept delays and technical problems they happen how they handled it was in my opinion was not responsible they left everyone on the plane for 4 hours and at midnight disembarked saying they had no hotels available and no staff to unload luggage the plane inevitable had people with young children and elderly all left to fend for themselves several times they mentioned dont worry we have a duty of care but there really was none singapore to london flight was not wifi enabled and they cram 8 business class seats across the width comfort and service did not reflect price and was well below leading airlines avoid it at all cost,Not Verified,Positive
10,Great customer service from BA,S Irving,2024-08-02,A320,3,5,4,Not Rated,5,Not Rated,4,Yes,flight cancelled due to bad weather ba contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasnt convenient clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes great customer service from bawell done,Verified,Negative
1,"""Absolute worst travel experience""",S Drew,2024-07-30,Couple Leisure,1,1,Not Rated,Not Rated,1,Not Rated,1,no,british airways oversold my lhr to lax flight i booked months in advance paid in full and actually paid over 1000 extra to fly their airbus a380 tried to check in online day before flight got unknown system error couldnt check in arrived at lhr 35 hours early none of ba kiosks worked all manual check in by understaffed ba staff who were all unhelpful insane queue times lots of other frustrated passengers in line denied boarding at the gate because flight oversold no explanations no apologies constantly ignored by ba staff who dont have the patience to listen to your situation or be helpful finally gate manager books alternate flight to paris cdg supposedly to connect with an air france flight we get to cdg only to be told by air france their flight was full no idea why ba manager bumped me to af flight thats also full thats insult to injury to be bumped twice went to ba desk at cdg no help at all they told us to call ba and couldnt even provide the phone number just told us to look online on top of all that my luggage is lost somewhere between ba and af in paris cdg im an american citizen and speak perfect english but i feel completely humiliated and treated like second class citizen by multiple ba staff through the whole ordeal mostly they just ignore you or bounce you from one counter to another without even trying to listen to your problem zero accountability will never ever fly ba again absolute worst travel experience of my life,Verified,Positive
3,"""one of the worst airlines""",Tim Taylor,2024-07-30,Business,5,1,3,3,1,3,1,no,i travelled london to doha on july 16th i had to physically check in at ba business t5 because i had an ongoing connection in doha and the flight was a code share with qatar i had paid for my flight through qatar and paid for the seat online so i could sit where i like to sit and when i got to check in discovered i had been reseated elsewhere in the cabin and was told that was their policy and basically to shut up about it i then discovered that ba do not recognise qatar frequent flyer rules despite sharing avios points im a gold card holder in qatar which affords me extra kilos on the baggage but ba tried to tell me i had to pay after some arguing eventually they accepted it the lounge was packed staff less than helpful when i tried to get some answers on my seat reassignment i was told i would get my money back no chance of that so dont even try the flight boarded by bus the journey took 15 minutes to get from terminal to aircraft which i am guessing was at another terminal because it took so long to get there why not board us through that terminal rather than drag us all over the airport finally got onto the plane ba staff are not friendly its no wonder they are ranked 13th i now realise its a privilege being allowed to step onto a ba flight and it departed 90 minutes late myself and many other travellers had connections and this meant i was either going to miss the connection or i would manage to make the connection but my luggage wouldnt would ba flight crew help me on board to figure out the connection they eventually came to tell me me in their haughty attitude we are now landing 15 minutes earlier so that give you a full 50 minutes to make your connection landing early does not mean getting to the gate earlier it usually takes at least 10 minutes from landing to gate then another 7 for the jetway to be attached and if you are lucky to be sitting near the door straight off if not 20 minutes to disembark if you want to be helpful dont say stupid things to people who are frequent travellers as it turned out i was sitting near the door and had to run off the plane qatar were there to assist but i did have to run from the a gates all the way to c gates to make my connection not a short distance for a 70 year old and the luggage did not make it many others were not as fortunate and didnt make their connections why put a page in the flight entertainment for connections if you are not going to provide the information its public information you can look it up on line so the aircraft has access to wifi and satellite communication so i fail to understand why this information cannot be captured and displayed i complained to ba got a wishy washy email with a number of excuses in it no mention of the seat refund i got a paltry voucher that im supposed to use on another ba flight who are they kidding i am not sure i want to experience that again however i have recently discovered that of my frequently travelled to destinations is really only serviced by ba if i want to fly at a reasonable hour of the day or go all over europe just to avoid them which is too expensive i consider them one of the worst airlines i have ever flown and getting worse by the minute fly them only if you absolutely have to and good luck,Verified,Positive
1,"""my travel pram confiscated from me""",M Raulin,2024-07-28,Family Leisure,1,1,1,Not Rated,1,Not Rated,1,no,when dropping off my luggage at the luggage drop off at toulouse airport i had my travel pram confiscated from me and i was forced to take my sleeping 2 year old in my arms while traveling alone with him at 530am i was told by the staff outsourced by british airways to check in passengers that only yoyo prams were accepted on board i corrected her that it was yoyo type prams but she contested and told me that only yoyo prams would be allowed and if i insisted to keep my sleeping 2yearold in his pram i would not be permitted to board the flight to london this happened to 2 other families and we were forced to go to the oversized baggage area of the airport to clarify my pram is the silver cross jet stroller pushchair which i specifically purchased as it is conform to the british airways specifications i was then required to carry my toddler for 30 mins through security and then again for another 40 mins while waiting to board the plane i was allowed early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down at heathrow i was then required to carry my toddler again for approx 40 mins to go through passport check and luggage claim as mentioned previously i was traveling alone with my child with no other support all this despite purchasing a very expensive pram to fit to your requirements and coming to the airport prepared with this pram im sure you agree this is unacceptable and it is illegal to force passengers to purchase a specific brand of products in order to be able to keep their child in their travel pram in addition to this once on the plane i installed my kids fly safe cares child airplane safety harness for my son the cabin crew then proceeded to tell me this was not allowed i had to go on the website to show them that this was incorrect and i was in fact within my rights then for landing the crew had the gall to tell me to put the harness on my son and that it was mandatory to which i asked if it was mandatory why did i bring the harness myself british airways is the most discriminatory airline for parents traveling with children and this needs to change my advice dont treat a mom traveling alone at 5am with a sleeping toddler like rubbish and dont confiscate her travel pram that is within regulation forcing her to have the worst travel experience possible,Verified,Negative
1,VERY uncomfortable seats,M Owen,2024-07-19,Boeing 777,1,1,1,1,1,Not Rated,1,no,if you cant fly first class dont fly british airways very uncomfortable seats you cant even get out of your seat when the person in front has their seat reclined and who doesnt need to recline their seat you cant pick up anything off the floor during the flight because you cant bend to touch the floor there isnt enough space to if you have long legs dont think you are going to be comfortable as soon as the person in front of you puts their chair back your knees will be crushed terrible food terrible plane terrible airhostesses terrible flight and unfortunately i have to fly back home with them,Verified,Negative
1,"""substandard business class experience""",Bryan Fisk,2024-07-16,A380-800,3,2,3,3,5,Not Rated,2,Yes,singapore to heathrow business class on an a380800 is a premium economy plus experience from the economy class sized toilets to the badly designed coffin shaped business class pods the experience is a substandard business class experience business class pods storage is a small drawer at the foot of the pod the privacy screens are opaque plastic sheets so you are kept awake by your neighbour as their screen lights up your pod when the seat is made into its coffin shaped bed the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep you have a choice of having your neighbour step over your calfheight footrest hopefully not brushing your feet with theirs or having to step over your neighbours feetfootrest with the footrest down heavenforbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position if you are in the aisle seat which is open to the aisle kiss goodbye to any privacy as not only will you be on view to all passengers the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen,Not Verified,Negative
1,"""Customer Service is shocking""",David Bolland,2024-07-15,Solo Leisure,3,4,4,3,2,3,3,no,i reported my damagedruined suitcase 5 weeks ago and im still awaiting a reply ill think twice about booking with ba again as the customer service is shocking to say the least ive followed up with british airways with at least 3 emails per week requesting an update but with no joy so far,Not Verified,Negative
1,"""left me extremely disappointed""",Daniel Chinellato,2024-07-09,Business,3,4,3,3,1,3,2,no,on march 1st i flew from berlin to são paulo with ba but encountered several issues my first flight was delayed by several hours causing me to miss my connection at london heathrow upon arriving at the airport after midnight i was given a hotel voucher however the hotel designated by ba rudely denied me checkin claiming it was fully booked i had to return to heathrow at 1 am and found a different hotel paying for the taxi out of my own pocket as a result of these complications i arrived in são paulo more than 24 hours late despite my efforts to assert my rights and seek reimbursement for the taxi bas customer service has been extremely poor their phone lines are nonfunctional emails are only answered automatically and the appropriate channels for such requests have not been responsive since the first week of march this experience has left me extremely disappointed especially considering the high standard of service i once associated with ba,Not Verified,Positive
